1	-100	-85	1883
2	-99	-86	1067
3	-99	-68	1033
4	-99	-38	933
5	-99	74	800
6	-99	78	2017
7	-99	79	1116
8	-98	-97	967
9	-98	-96	2117
10	-98	-91	1510
11	-98	-68	1850
12	-98	-35	1100
13	-98	-17	1200
14	-98	53	883
15	-98	58	948
16	-98	65	900
17	-98	92	1183
18	-98	92	1278
19	-97	-86	983
20	-97	-63	815
21	-97	-23	633
22	-97	63	2167
23	-96	-82	1433
24	-96	-71	1248
25	-96	-40	666
26	-96	-6	607
27	-96	1	1333
28	-96	29	639
29	-96	38	532
30	-96	74	583
31	-96	74	4633
32	-96	95	1216
33	-95	-99	1214
34	-95	-74	1100
35	-95	-71	2236
36	-95	-63	733
37	-95	-20	557
38	-95	13	566
39	-95	67	902
40	-95	89	1148
41	-95	91	1333
42	-94	-89	1433
43	-94	-70	998
44	-94	-5	1183
45	-94	19	667
46	-94	30	783
47	-93	-67	739
48	-93	-66	803
49	-93	-13	1316
50	-93	80	1350
51	-92	-87	1283
52	-92	-75	903
53	-92	-22	767
54	-92	-20	833
55	-92	-19	767
56	-92	-8	934
57	-92	34	616
58	-92	52	833
59	-91	-96	1133
60	-91	-87	1200
61	-91	-70	1839
62	-91	-31	1766
63	-91	-14	833
64	-91	-10	770
65	-91	-4	783
66	-91	23	750
67	-91	23	968
68	-91	43	868
69	-90	-30	533
70	-90	-4	639
71	-90	12	567
72	-90	40	767
73	-90	50	600
74	-89	-19	638
75	-89	15	750
76	-89	18	803
77	-89	61	2033
78	-89	87	1050
79	-89	93	2150
80	-88	-91	800
81	-88	-75	1217
82	-88	-47	1485
83	-88	-2	573
84	-88	37	800
85	-88	38	804
86	-88	47	600
87	-88	60	767
88	-88	72	950
89	-88	77	900
90	-88	83	1427
91	-87	-75	968
92	-87	29	783
93	-87	51	833
94	-87	61	1033
95	-86	-80	1098
96	-86	-71	1117
97	-86	-46	701
98	-86	-39	867
99	-86	-34	633
100	-86	-27	1099
101	-86	-8	706
102	-86	10	750
103	-86	54	883
104	-85	-86	1329
105	-85	-35	2053
106	-85	10	492
107	-85	85	750
108	-84	-81	1100
109	-84	-75	870
110	-84	-58	750
111	-84	-47	883
112	-84	-8	1066
113	-84	3	767
114	-84	33	667
115	-84	69	1217
116	-83	-87	717
117	-83	-59	867
118	-83	-11	1033
119	-83	27	1267
120	-83	64	917
121	-82	-97	967
122	-82	-66	700
123	-82	-55	4834
124	-81	-100	831
125	-81	-79	900
126	-81	-48	583
127	-81	-22	1700
128	-81	26	600
129	-81	29	666
130	-81	81	1150
131	-81	86	867
132	-81	96	2134
133	-80	-85	1034
134	-80	-82	1850
135	-80	-43	1000
136	-80	-22	557
137	-80	-8	1345
138	-80	-4	534
139	-80	4	667
140	-80	62	739
141	-79	-7	639
142	-79	-4	607
143	-79	9	673
144	-79	15	567
145	-79	43	933
146	-79	74	2691
147	-78	-92	1500
